Category,Cost,Cost Centre,Date,Description,Header Ref,Ledger,Nominal Code,Nominal Name,P&L Line,Project ID,Ref,Supplier ID,Type,Unit,Value
Subcontractor,8998,P-SUB,44860,"For supply of Chris Cravagan as supervisor at Â£275 per daydg - Period/End 21/10/2022 T/S UT03483967L-00021912 Mr S Ahmed Basic Days 5.00 DAYS @ 391. 00/ DAY 1,955.00 SLocation: Stafford Booked by: Lee Blowe",PINF2285017,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355543,Sup000656,INV,BU008,1955.0
Subcontractor,2040,P-DIRECT,44860,"Period/End 21/10/2022 T/S GEN002632636
T2U5235560 Mr F HamanBasic Days 5.00 HOURS @ 250. 00/ HOUR",PINF2285062,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355545,Sup000656,INV,BU008,1250.0
Subcontractor,7391,P-DIRECT,44860,"Period/End 30/09/2022 T/S GEN002625212
T3U5747107 Mr R TunidauBasic Days 5.00 HOURS @ 215. 00/ HOUR",PINF2285115,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355547,Sup000656,INV,BU008,1075.0
Subcontractor,3923,P-DIRECT,44860,"Period/End 30/09/2022 T/S GEN002625213
U-00071660 Mr J GalbraithBasic Days 5.00 HOURS @ 305. 00/ HOUR",PINF2284835,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355548,Sup000656,INV,BU008,1564.0
Subcontractor,8567,P-DIRECT,44860,"Period/End 21/10/2022 T/S UT03295671
L-00021872 Mr A Malik Basic Days 5.00 DAYS @ 345. 00/ DAYdg- Period/End 21/10/2022 T/S GEN002633170U-00071660 Mr J GalbraithBasic Days 5.00 HOURS @ 305. 00/ HOUR 1,525.00 SBooked by: Lee Blower",PINF2285116,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355550,Sup000656,INV,BU008,1525.0
Subcontractor,2944,P-DIRECT,44860,"Period/End 30/09/2022 T/S GEN002625214
U-00063577 Mr M VuanicaBuasic Days 5.00 HOURS @ 200. 00/ HOURdg - Period/End 21/10/2022 T/S GEN002633172U-00071661 Mr J Booth Basic Days 5.00 HOURS @ 200. 00/ HOUR 1,000.00 SBooked by: Lee Blower",PINF2285118,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355551,Sup000656,INV,BU008,1000.0
Subcontractor,1161,P-DIRECT,44860,"Period/End 30/09/2022 T/S GEN002625217
U-00071631 Mr S McallisteBasic Days 4.00 HOURS @ 200. 00/ HOURdg - Period/End 21/10/2022 T/S GEN002633171U-00063577 Mr M VuanicaBuasic Days 5.00 HOURS @ 230. 00/ HOUR 1,150.00 SBooked by: Lee Blo",PINF2285117,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355552,Sup000656,INV,BU008,1150.0
Subcontractor,8813,P-DIRECT,44860,"Period/End 30/09/2022 T/S GEN002623971
L-00021872 Mr A Malik Basic Days 5.00 HOURS @ 345. 00/ HOURdg- Period/End 30/09/2022 T/S GEN002633483L-00021912 Mr S Ahmed Basic Days 4.50 HOURS @ 391. 00/ HOUR 1,759.50 SBooked by: Lee Blower",PINF2284834,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355554,Sup000656,INV,BU008,1759.5
Subcontractor,9261,P-SUB,44820,"Site 208 Knapsack Spraying
30 Aug 2022dg - Cut & Remove site 210Tractor, Operator & Hookloader Skip Trailer & Bin13 & 14 Sept",INV-2016270,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355557,Sup000649,INV,BU008,1980.0
Subcontractor,6620,P-SUB,44820,SSSTS On Site - Stuart Jackson - Premium per day,INV-2016270,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355558,Sup000649,INV,BU008,150.0
Subcontractor,8552,P-SUB,44820,Green Waste Disposal per tonne - estimated quantity,INV-2016270,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355559,Sup000649,INV,BU008,235.6
Subcontractor,1724,P-SUB,44820,Labour to move waste,INV-2016270,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355560,Sup000649,INV,BU008,550.0
Subcontractor,5668,P-SUB,44820,"Compact Tractor, Operator & Mower Collector",INV-2016270,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355561,Sup000649,INV,BU008,1190.0
Subcontractor,2745,P-SUB,44806,"Tractor, Operator to Plough utilising RSKs Plough
For fuel rates in excess of 100l per day, a fuel surcharge
will be made at Cost plus 15% for the fuel utilised.
All above vehicles to be operated on white diesel.",INV-2016264,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355562,Sup000649,INV,BU008,2050.0
Subcontractor,3105,P-SUB,44806,Pins and other parts for RSK plpugh,INV-2016264,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355563,Sup000649,INV,BU008,27.5
Subcontractor,7834,P-SUB,44806,"Compound & Offices Knapsack Spraying
1 Sept 2022",INV-2016256,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355564,Sup000649,INV,BU008,355.0
Subcontractor,427,P-SUB,44829,16T Long reach & Operator from 26th Sept to 30th Sept,5219,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355617,Sup000681,INV,BU008,5320.0
Subcontractor,1929,P-SUB,44843,Mobilisation & Demobilisation of16T Long reach & Operator from 26th Sept to 30th Sept,5250,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355618,Sup000681,INV,BU008,510.0
Subcontractor,4588,P-DIRECT,44841,"HS2 Qty 4 @ Â£190
TOTAL Â£7",INV-0087,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355639,Sup000668,INV,BU008,380.0
Subcontractor,7750,P-DIRECT,44841,"Travel Qty 646 @ Â£0.45 
TOTAL Â£290.",INV-0087,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355640,Sup000668,INV,BU008,148.5
Subcontractor,5509,P-SUB,44834,"Sub-contractor services provided on site
5 days charged at 190.00 per day",04,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355644,Sup000697,INV,BU008,950.0
Subcontractor,6795,P-SUB,44834,Mileage claim - paid at .45p per mile,04,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355645,Sup000697,INV,BU008,323.1
Subcontractor,2001,P-SUB,44834,Overtime claim,04,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355646,Sup000697,INV,BU008,45.0
Subcontractor,4397,P-DIRECT,44845,"Shift on 07/10/20220 Qty 1 @ Â£250
TOTAL Â£2",1357,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355647,Sup000672,INV,BU008,250.0
Subcontractor,247,P-DIRECT,44845,"Shift on 06/10/20220 Qty 1 @ Â£250
TOTAL Â£2",1357,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355648,Sup000672,INV,BU008,250.0
Subcontractor,2914,P-DIRECT,44845,"Shift on 05/10/20220 Qty 1 @ Â£250
TOTAL Â£2",1357,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355649,Sup000672,INV,BU008,250.0
Subcontractor,1548,P-DIRECT,44845,"Shift on 04/10/20220 Qty 1 @ Â£250
TOTAL Â£2",1357,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355650,Sup000672,INV,BU008,250.0
Subcontractor,6181,P-DIRECT,44845,"Shift on 03/10/20220 Unit price Â£250 qty 1
TOTAL 25",1357,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355651,Sup000672,INV,BU008,250.0
Subcontractor,3898,P-SUB,44841,"Sub-contractor services provided on site 
5 days charged at 190.00 per day",05,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355652,Sup000697,INV,BU008,950.0
Subcontractor,1484,P-SUB,44841,Mileage claim - paid at .45p per mile,05,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355653,Sup000697,INV,BU008,325.8
Subcontractor,1010,P-SUB,44848,"Sub-contractor services provided on site
3 days charged at 190.00 per day",06,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355654,Sup000697,INV,BU008,570.0
Subcontractor,5095,P-SUB,44848,Mileage claim - paid at .45p per mile,06,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000603,355655,Sup000697,INV,BU008,193.5
Subcontractor,6401,P-SUB,44855,"Sub-contractor services provided on site
5 days charged at 190.00 per day",07,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355658,Sup000697,INV,BU008,950.0
Subcontractor,212,P-SUB,44855,Mileage claim - paid at .45p per mile,07,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355659,Sup000697,INV,BU008,318.6
Subcontractor,6571,P-DIRECT,44862,"Period/End 21/10/2022 T/S UT03295671
L-00021872 Mr A Malik Basic Days 5.00 DAYS @ 345. 00/ DAY",PINF2285804,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355764,Sup000656,INV,BU008,1955.0
Subcontractor,1249,P-DIRECT,44862,HS2 EEW  24TH - 27TH October  4 units @ Â£14,185,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355815,Sup000667,INV,BU008,560.0
Subcontractor,4967,P-DIRECT,44862,"Engineering services provided for RSK Habitat Management.
Onsite Engineer Ty Jones 5 days at Â£400 per day 
TOTAL Â£20",257,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,355822,Sup000696,INV,BU008,2000.0
Subcontractor,9653,P-SUB,44862,"Road Sweeper on Site at Blithbury sites to be determined.
2 days per week
Minimum 4 Hrs on site
Price per visit",INV-2016356,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,356156,Sup000649,INV,BU008,1128.0
Subcontractor,3070,P-SUB,44866,"Sub-contractor services provided on HS2
5 days charged at 250.00 per day",1360,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,356379,Sup000672,INV,BU008,1250.0
Subcontractor,3218,P-SUB,44860,"Temp services provided on HS2 - Laurentio Serb
5 days charged at 300.00 per day",3953680,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,356543,Sup000648,INV,BU008,1623.07
Subcontractor,4826,P-SUB,44865,"Tractor, Operator with Sub-soiler
Day rate",INV-2016365,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,356600,Sup000649,INV,BU008,840.0
Subcontractor,2978,P-SUB,44865,"Brush-cutter & Operative
Monday 31 Oct 2 men
Day rate to inc fuel",INV-2016364,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000054,356603,Sup000649,INV,BU008,580.0
Subcontractor,9501,P-DIRECT,44866,1 x SSSTS - Â£360 per da,INV-0524,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000606,356637,Sup000651,INV,BU008,10780.0
Subcontractor,5629,P-DIRECT,44866,3 x Fencing Ops,INV-0525,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000606,356639,Sup000651,INV,BU008,6520.0
Material Supplier,9063,P-DIRECT,44866,SSSTS x 1 - Â£300.0,INV-0526,PL,691082004CIS,Subcontractors CIS,Subcontractors,Proj000606,356640,Sup000651,INV,BU008,4580.0
