Unit,P&L Line,Nominal Code,Nominal Name,Ledger,Type,Value,Ref,Date,Description,Header Ref,Project ID,Cost Centre,Supplier ID
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1955,355543,44860,"For supply of Chris Cravagan as supervisor at £275 per daydg - Period/End 21/10/2022 T/S UT03483967L-00021912 Mr S Ahmed Basic Days 5.00 DAYS @ 391. 00/ DAY 1,955.00 SLocation: Stafford Booked by: Lee Blowe",PINF2285017,Proj000054,P-SUB,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1250,355545,44860,"Period/End 21/10/2022 T/S GEN002632636
T2U5235560 Mr F HamanBasic Days 5.00 HOURS @ 250. 00/ HOUR",PINF2285062,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1075,355547,44860,"Period/End 30/09/2022 T/S GEN002625212
T3U5747107 Mr R TunidauBasic Days 5.00 HOURS @ 215. 00/ HOUR",PINF2285115,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1564,355548,44860,"Period/End 30/09/2022 T/S GEN002625213
U-00071660 Mr J GalbraithBasic Days 5.00 HOURS @ 305. 00/ HOUR",PINF2284835,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1525,355550,44860,"Period/End 21/10/2022 T/S UT03295671
L-00021872 Mr A Malik Basic Days 5.00 DAYS @ 345. 00/ DAYdg- Period/End 21/10/2022 T/S GEN002633170U-00071660 Mr J GalbraithBasic Days 5.00 HOURS @ 305. 00/ HOUR 1,525.00 SBooked by: Lee Blower",PINF2285116,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1000,355551,44860,"Period/End 30/09/2022 T/S GEN002625214
U-00063577 Mr M VuanicaBuasic Days 5.00 HOURS @ 200. 00/ HOURdg - Period/End 21/10/2022 T/S GEN002633172U-00071661 Mr J Booth Basic Days 5.00 HOURS @ 200. 00/ HOUR 1,000.00 SBooked by: Lee Blower",PINF2285118,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1150,355552,44860,"Period/End 30/09/2022 T/S GEN002625217
U-00071631 Mr S McallisteBasic Days 4.00 HOURS @ 200. 00/ HOURdg - Period/End 21/10/2022 T/S GEN002633171U-00063577 Mr M VuanicaBuasic Days 5.00 HOURS @ 230. 00/ HOUR 1,150.00 SBooked by: Lee Blo",PINF2285117,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1759.5,355554,44860,"Period/End 30/09/2022 T/S GEN002623971
L-00021872 Mr A Malik Basic Days 5.00 HOURS @ 345. 00/ HOURdg- Period/End 30/09/2022 T/S GEN002633483L-00021912 Mr S Ahmed Basic Days 4.50 HOURS @ 391. 00/ HOUR 1,759.50 SBooked by: Lee Blower",PINF2284834,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1980,355557,44820,"Site 208 Knapsack Spraying
30 Aug 2022dg - Cut & Remove site 210Tractor, Operator & Hookloader Skip Trailer & Bin13 & 14 Sept",INV-2016270,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,150,355558,44820,SSSTS On Site - Stuart Jackson - Premium per day,INV-2016270,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,235.6,355559,44820,Green Waste Disposal per tonne - estimated quantity,INV-2016270,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,550,355560,44820,Labour to move waste,INV-2016270,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1190,355561,44820,"Compact Tractor, Operator & Mower Collector",INV-2016270,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,2050,355562,44806,"Tractor, Operator to Plough utilising RSKs Plough
For fuel rates in excess of 100l per day, a fuel surcharge
will be made at Cost plus 15% for the fuel utilised.
All above vehicles to be operated on white diesel.",INV-2016264,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,27.5,355563,44806,Pins and other parts for RSK plpugh,INV-2016264,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,355,355564,44806,"Compound & Offices Knapsack Spraying
1 Sept 2022",INV-2016256,Proj000054,P-SUB,Sup000649
